split,batch_id,label,size,attacker_ratio,attacker_count,score,p_value,suspicious
heldout_benign,0,0,1500,0.0,0,0.1814036085208257,0.001998001998001998,True
heldout_benign,1,0,1500,0.0,0,0.18200719527403514,0.001998001998001998,True
heldout_benign,2,0,1500,0.0,0,0.18205354432264964,0.001998001998001998,True
heldout_benign,3,0,1500,0.0,0,0.1799160157442093,0.07992007992007992,False
heldout_benign,4,0,1500,0.0,0,0.18166759419441222,0.001998001998001998,True
heldout_benign,5,0,1500,0.0,0,0.1812168204387029,0.003996003996003996,True
heldout_benign,6,0,1500,0.0,0,0.18088799798488617,0.003996003996003996,True
heldout_benign,7,0,1500,0.0,0,0.1807973600625992,0.00999000999000999,True
heldout_benign,8,0,1500,0.0,0,0.18140131461620332,0.001998001998001998,True
heldout_benign,9,0,1500,0.0,0,0.1811213529109955,0.003996003996003996,True
heldout_benign,10,0,1500,0.0,0,0.1807954860130946,0.00999000999000999,True
heldout_benign,11,0,1500,0.0,0,0.18137577362855276,0.001998001998001998,True
heldout_benign,12,0,1500,0.0,0,0.18178609498341877,0.001998001998001998,True
heldout_benign,13,0,1500,0.0,0,0.1811150099436442,0.003996003996003996,True
heldout_benign,14,0,1500,0.0,0,0.1806843502521515,0.013986013986013986,True
heldout_benign,15,0,1500,0.0,0,0.1821435932715734,0.001998001998001998,True
heldout_benign,16,0,1500,0.0,0,0.17963007485866547,0.14785214785214784,False
heldout_benign,17,0,1500,0.0,0,0.1810355048974355,0.003996003996003996,True
heldout_benign,18,0,1500,0.0,0,0.1815554221868515,0.001998001998001998,True
heldout_benign,19,0,1500,0.0,0,0.18249921027819316,0.001998001998001998,True
heldout_benign,20,0,1500,0.0,0,0.18173460292816163,0.001998001998001998,True
heldout_benign,21,0,1500,0.0,0,0.18113983941078185,0.003996003996003996,True
heldout_benign,22,0,1500,0.0,0,0.18188433786233266,0.001998001998001998,True
heldout_benign,23,0,1500,0.0,0,0.1822266546090444,0.001998001998001998,True
heldout_benign,24,0,1500,0.0,0,0.18209171883265177,0.001998001998001998,True
heldout_benign,25,0,1500,0.0,0,0.18022971940040589,0.03996003996003996,True
heldout_benign,26,0,1500,0.0,0,0.18197787857055664,0.001998001998001998,True
heldout_benign,27,0,1500,0.0,0,0.18111136309305828,0.003996003996003996,True
heldout_benign,28,0,1500,0.0,0,0.18099311292171477,0.003996003996003996,True
heldout_benign,29,0,1500,0.0,0,0.18117794060707093,0.003996003996003996,True
heldout_benign,30,0,1500,0.0,0,0.18077834705511728,0.00999000999000999,True
