split,batch_id,label,size,attacker_ratio,attacker_count,score,w_statistic,p_value,suspicious,distances_used
heldout_benign,0,0,1500,0.0,0,0.02501793683703102,0.974982063162969,0.9310689310689311,False,1474
heldout_benign,1,0,1500,0.0,0,0.021518939543595184,0.9784810604564048,0.6513486513486514,False,1480
heldout_benign,2,0,1500,0.0,0,0.028872993972124505,0.9711270060278755,0.5334665334665335,False,1470
heldout_benign,3,0,1500,0.0,0,0.022169332397748542,0.9778306676022515,0.7332667332667333,False,1474
heldout_benign,4,0,1500,0.0,0,0.021513917040118846,0.9784860829598812,0.6493506493506493,False,1472
heldout_benign,5,0,1500,0.0,0,0.024296279550692912,0.9757037204493071,0.985014985014985,False,1476
heldout_benign,6,0,1500,0.0,0,0.02256216811810563,0.9774378318818944,0.7812187812187812,False,1472
heldout_benign,7,0,1500,0.0,0,0.019942492784881916,0.9800575072151181,0.46553446553446554,False,1476
heldout_benign,8,0,1500,0.0,0,0.03425329234427954,0.9657467076557205,0.16383616383616384,False,1470
heldout_benign,9,0,1500,0.0,0,0.02660187161477534,0.9733981283852247,0.7452547452547452,False,1474
heldout_benign,10,0,1500,0.0,0,0.028796809713513727,0.9712031902864863,0.5374625374625375,False,1468
heldout_benign,11,0,1500,0.0,0,0.03609112209184706,0.9639088779081529,0.11588411588411589,False,1468
heldout_benign,12,0,1500,0.0,0,0.020863912548195418,0.9791360874518046,0.5794205794205795,False,1472
heldout_benign,13,0,1500,0.0,0,0.025493173892499277,0.9745068261075007,0.8731268731268731,False,1472
heldout_benign,14,0,1500,0.0,0,0.02254582340200062,0.9774541765979994,0.7752247752247752,False,1474
heldout_benign,15,0,1500,0.0,0,0.022606850046689497,0.9773931499533105,0.7872127872127872,False,1472
heldout_benign,16,0,1500,0.0,0,0.02169774049552875,0.9783022595044712,0.6793206793206793,False,1468
heldout_benign,17,0,1500,0.0,0,0.016485419428524772,0.9835145805714752,0.16383616383616384,False,1474
heldout_benign,18,0,1500,0.0,0,0.02690787879288903,0.973092121207111,0.7192807192807192,False,1476
heldout_benign,19,0,1500,0.0,0,0.020553073686196188,0.9794469263138038,0.5314685314685315,False,1476
