split,batch_id,label,size,attacker_ratio,attacker_count,score,p_value,suspicious
heldout_benign,0,0,1500,0.0,0,0.15877775653203327,0.3956043956043956,False
heldout_benign,1,0,1500,0.0,0,0.15717832040786744,0.5974025974025974,False
heldout_benign,2,0,1500,0.0,0,0.15827266836166382,0.6693306693306693,False
heldout_benign,3,0,1500,0.0,0,0.15815117541948953,0.7552447552447552,False
heldout_benign,4,0,1500,0.0,0,0.1579000159104665,0.981018981018981,False
heldout_benign,5,0,1500,0.0,0,0.15782095511754354,0.9790209790209791,False
heldout_benign,6,0,1500,0.0,0,0.15810077472527823,0.8111888111888111,False
heldout_benign,7,0,1500,0.0,0,0.15750989532470702,0.8111888111888111,False
heldout_benign,8,0,1500,0.0,0,0.15798254811763762,0.9050949050949051,False
heldout_benign,9,0,1500,0.0,0,0.1587091940244039,0.4275724275724276,False
heldout_benign,10,0,1500,0.0,0,0.15792209533850352,0.961038961038961,False
heldout_benign,11,0,1500,0.0,0,0.15754289933045706,0.8211788211788211,False
heldout_benign,12,0,1500,0.0,0,0.15854688425858815,0.5014985014985015,False
heldout_benign,13,0,1500,0.0,0,0.15737003048261006,0.7052947052947053,False
heldout_benign,14,0,1500,0.0,0,0.1576183904806773,0.8651348651348651,False
heldout_benign,15,0,1500,0.0,0,0.1577886993487676,0.9530469530469531,False
heldout_benign,16,0,1500,0.0,0,0.15933639411131542,0.18181818181818182,False
heldout_benign,17,0,1500,0.0,0,0.1586088305711746,0.4775224775224775,False
heldout_benign,18,0,1500,0.0,0,0.15862776247660318,0.4755244755244755,False
heldout_benign,19,0,1500,0.0,0,0.15712366950511933,0.5674325674325674,False
heldout_benign,20,0,1500,0.0,0,0.15725425056616466,0.6333666333666333,False
heldout_benign,21,0,1500,0.0,0,0.15849852271874745,0.5354645354645354,False
heldout_benign,22,0,1500,0.0,0,0.15757765102386476,0.8431568431568431,False
heldout_benign,23,0,1500,0.0,0,0.157287033756574,0.6553446553446554,False
heldout_benign,24,0,1500,0.0,0,0.15704552471637725,0.5254745254745254,False
heldout_benign,25,0,1500,0.0,0,0.158258979678154,0.6793206793206793,False
heldout_benign,26,0,1500,0.0,0,0.15815537623564402,0.7512487512487512,False
heldout_benign,27,0,1500,0.0,0,0.15818023637930553,0.7392607392607392,False
heldout_benign,28,0,1500,0.0,0,0.15762882534662884,0.8691308691308691,False
heldout_benign,29,0,1500,0.0,0,0.15690394186973572,0.4435564435564436,False
heldout_benign,30,0,1500,0.0,0,0.15772114352385203,0.919080919080919,False
heldout_benign,31,0,1500,0.0,0,0.15793597304821014,0.9530469530469531,False
heldout_benign,32,0,1500,0.0,0,0.15783420689900715,0.985014985014985,False
heldout_benign,33,0,1500,0.0,0,0.15796099535624186,0.929070929070929,False
heldout_benign,34,0,1500,0.0,0,0.15729858402411143,0.6613386613386614,False
heldout_benign,35,0,1500,0.0,0,0.1581912176211675,0.7332667332667333,False
heldout_benign,36,0,1500,0.0,0,0.1583818564414978,0.5994005994005994,False
heldout_benign,37,0,1500,0.0,0,0.15761692496140797,0.8651348651348651,False
heldout_benign,38,0,1500,0.0,0,0.15780779270331066,0.967032967032967,False
heldout_benign,39,0,1500,0.0,0,0.15729756621519725,0.6613386613386614,False
heldout_benign,40,0,1500,0.0,0,0.15771863214174905,0.919080919080919,False
heldout_benign,41,0,1500,0.0,0,0.15698122696081798,0.47352647352647353,False
heldout_benign,42,0,1500,0.0,0,0.15765016218026479,0.8891108891108891,False
heldout_benign,43,0,1500,0.0,0,0.15822466150919595,0.7032967032967034,False
heldout_benign,44,0,1500,0.0,0,0.1572129991054535,0.6053946053946054,False
heldout_benign,45,0,1500,0.0,0,0.15857212845484417,0.4915084915084915,False
heldout_benign,46,0,1500,0.0,0,0.15860649486382802,0.47952047952047955,False
heldout_benign,47,0,1500,0.0,0,0.1580698847770691,0.8271728271728271,False
heldout_benign,48,0,1500,0.0,0,0.15803063321113586,0.8651348651348651,False
heldout_benign,49,0,1500,0.0,0,0.15786063555876415,0.997002997002997,False
attacker,0,1,1500,1.0,1500,0.2047273874282837,0.001998001998001998,True
attacker,1,1,1500,1.0,1500,0.205703453262647,0.001998001998001998,True
attacker,2,1,1500,1.0,1500,0.20465649104118347,0.001998001998001998,True
attacker,3,1,1500,1.0,1500,0.20522173074881236,0.001998001998001998,True
attacker,4,1,1500,1.0,1500,0.20498734589417775,0.001998001998001998,True
attacker,5,1,1500,1.0,1500,0.20569952356815338,0.001998001998001998,True
attacker,6,1,1500,1.0,1500,0.20556535319487254,0.001998001998001998,True
attacker,7,1,1500,1.0,1500,0.2062757069269816,0.001998001998001998,True
attacker,8,1,1500,1.0,1500,0.2056408178806305,0.001998001998001998,True
attacker,9,1,1500,1.0,1500,0.20629089907805126,0.001998001998001998,True
attacker,10,1,1500,1.0,1500,0.20579832402865092,0.001998001998001998,True
attacker,11,1,1500,1.0,1500,0.20566419931252797,0.001998001998001998,True
attacker,12,1,1500,1.0,1500,0.206845413963,0.001998001998001998,True
attacker,13,1,1500,1.0,1500,0.205626313885053,0.001998001998001998,True
attacker,14,1,1500,1.0,1500,0.20546947042147318,0.001998001998001998,True
attacker,15,1,1500,1.0,1500,0.20560098055998485,0.001998001998001998,True
attacker,16,1,1500,1.0,1500,0.20610682276884715,0.001998001998001998,True
attacker,17,1,1500,1.0,1500,0.20588344717025756,0.001998001998001998,True
attacker,18,1,1500,1.0,1500,0.20540195206801096,0.001998001998001998,True
attacker,19,1,1500,1.0,1500,0.2066255705356598,0.001998001998001998,True
attacker,20,1,1500,1.0,1500,0.2055491366783778,0.001998001998001998,True
attacker,21,1,1500,1.0,1500,0.20497921355565388,0.001998001998001998,True
attacker,22,1,1500,1.0,1500,0.20591281453768412,0.001998001998001998,True
attacker,23,1,1500,1.0,1500,0.20582066440582275,0.001998001998001998,True
attacker,24,1,1500,1.0,1500,0.20473839215437573,0.001998001998001998,True
attacker,25,1,1500,1.0,1500,0.2052065333922704,0.001998001998001998,True
attacker,26,1,1500,1.0,1500,0.20481806015968324,0.001998001998001998,True
attacker,27,1,1500,1.0,1500,0.2064734613498052,0.001998001998001998,True
attacker,28,1,1500,1.0,1500,0.20518522421518962,0.001998001998001998,True
attacker,29,1,1500,1.0,1500,0.2051783335606257,0.001998001998001998,True
attacker,30,1,1500,1.0,1500,0.20614736358324687,0.001998001998001998,True
attacker,31,1,1500,1.0,1500,0.20451671361923218,0.001998001998001998,True
attacker,32,1,1500,1.0,1500,0.204954642534256,0.001998001998001998,True
attacker,33,1,1500,1.0,1500,0.2057908243338267,0.001998001998001998,True
attacker,34,1,1500,1.0,1500,0.20552516587575276,0.001998001998001998,True
attacker,35,1,1500,1.0,1500,0.20597995575269062,0.001998001998001998,True
attacker,36,1,1500,1.0,1500,0.20584269181887307,0.001998001998001998,True
attacker,37,1,1500,1.0,1500,0.20500789002577463,0.001998001998001998,True
attacker,38,1,1500,1.0,1500,0.20608587809403736,0.001998001998001998,True
attacker,39,1,1500,1.0,1500,0.2049646944204966,0.001998001998001998,True
attacker,40,1,1500,1.0,1500,0.2062405188481013,0.001998001998001998,True
attacker,41,1,1500,1.0,1500,0.20503593246142068,0.001998001998001998,True
attacker,42,1,1500,1.0,1500,0.2069371687968572,0.001998001998001998,True
attacker,43,1,1500,1.0,1500,0.2060861451625824,0.001998001998001998,True
attacker,44,1,1500,1.0,1500,0.20564158074061076,0.001998001998001998,True
attacker,45,1,1500,1.0,1500,0.2055498691399892,0.001998001998001998,True
attacker,46,1,1500,1.0,1500,0.2050710302591324,0.001998001998001998,True
attacker,47,1,1500,1.0,1500,0.20573610464731854,0.001998001998001998,True
attacker,48,1,1500,1.0,1500,0.20506971037387847,0.001998001998001998,True
attacker,49,1,1500,1.0,1500,0.20566177034378053,0.001998001998001998,True
mixed_0.05,0,1,1500,0.05,75,0.1606214813788732,0.02197802197802198,True
mixed_0.05,1,1,1500,0.05,75,0.16008088747660318,0.04595404595404595,True
mixed_0.05,2,1,1500,0.05,75,0.16089619827270507,0.013986013986013986,True
mixed_0.05,3,1,1500,0.05,75,0.159736133535703,0.11588411588411589,False
mixed_0.05,4,1,1500,0.05,75,0.15997789601484935,0.06393606393606394,False
mixed_0.05,5,1,1500,0.05,75,0.16078276749451956,0.02197802197802198,True
mixed_0.05,6,1,1500,0.05,75,0.1598422000805537,0.0979020979020979,False
mixed_0.05,7,1,1500,0.05,75,0.15918628513813018,0.22377622377622378,False
mixed_0.05,8,1,1500,0.05,75,0.16035370008150737,0.03796203796203796,True
mixed_0.05,9,1,1500,0.05,75,0.16015638264020285,0.04195804195804196,True
mixed_0.05,10,1,1500,0.05,75,0.1620980570713679,0.003996003996003996,True
mixed_0.05,11,1,1500,0.05,75,0.16061005620161692,0.02197802197802198,True
mixed_0.05,12,1,1500,0.05,75,0.1616901494661967,0.003996003996003996,True
mixed_0.05,13,1,1500,0.05,75,0.1600309796333313,0.053946053946053944,False
mixed_0.05,14,1,1500,0.05,75,0.16091077999273937,0.011988011988011988,True
mixed_0.05,15,1,1500,0.05,75,0.16039117213090262,0.03396603396603397,True
