split,batch_id,label,size,attacker_ratio,attacker_count,score,p_value,suspicious
heldout_benign,0,0,1500,0.0,0,-4.3791532516479495e-05,0.7252747252747253,False
heldout_benign,1,0,1500,0.0,0,-2.250075340270996e-05,0.5364635364635365,False
heldout_benign,2,0,1500,0.0,0,-2.9587745666503905e-05,0.6083916083916084,False
heldout_benign,3,0,1500,0.0,0,-4.0888786315917965e-06,0.4095904095904096,False
heldout_benign,4,0,1500,0.0,0,-5.64873218536377e-05,0.8281718281718282,False
heldout_benign,5,0,1500,0.0,0,-2.2077560424804686e-05,0.5324675324675324,False
heldout_benign,6,0,1500,0.0,0,-2.8264522552490234e-05,0.5934065934065934,False
heldout_benign,7,0,1500,0.0,0,1.024007797241211e-05,0.3276723276723277,False
heldout_benign,8,0,1500,0.0,0,-3.269314765930176e-05,0.6343656343656343,False
heldout_benign,9,0,1500,0.0,0,-7.110834121704101e-06,0.43156843156843155,False
heldout_benign,10,0,1500,0.0,0,-4.534125328063965e-05,0.7332667332667333,False
heldout_benign,11,0,1500,0.0,0,-3.756880760192871e-05,0.6823176823176823,False
heldout_benign,12,0,1500,0.0,0,9.5367431640625e-07,0.3806193806193806,False
heldout_benign,13,0,1500,0.0,0,-2.7745962142944336e-05,0.5874125874125874,False
heldout_benign,14,0,1500,0.0,0,-2.7418136596679688e-05,0.5844155844155844,False
heldout_benign,15,0,1500,0.0,0,-1.2260675430297851e-05,0.46253746253746253,False
heldout_benign,16,0,1500,0.0,0,-1.7070770263671874e-05,0.4945054945054945,False
heldout_benign,17,0,1500,0.0,0,-5.710124969482422e-06,0.41858141858141856,False
heldout_benign,18,0,1500,0.0,0,-1.603960990905762e-05,0.4865134865134865,False
heldout_benign,19,0,1500,0.0,0,-4.5305490493774415e-05,0.7332667332667333,False
heldout_benign,20,0,1500,0.0,0,-2.3287534713745117e-05,0.5434565434565435,False
heldout_benign,21,0,1500,0.0,0,-1.4233589172363282e-05,0.4745254745254745,False
heldout_benign,22,0,1500,0.0,0,-1.8668174743652343e-05,0.5024975024975025,False
heldout_benign,23,0,1500,0.0,0,-1.1646747589111328e-05,0.45854145854145856,False
heldout_benign,24,0,1500,0.0,0,1.1360645294189453e-05,0.31868131868131866,False
heldout_benign,25,0,1500,0.0,0,-8.666515350341797e-06,0.44255744255744256,False
heldout_benign,26,0,1500,0.0,0,-1.2725591659545898e-05,0.46353646353646355,False
heldout_benign,27,0,1500,0.0,0,-4.33504581451416e-05,0.7252747252747253,False
heldout_benign,28,0,1500,0.0,0,-2.067089080810547e-05,0.5184815184815185,False
heldout_benign,29,0,1500,0.0,0,-4.2772293090820314e-05,0.7182817182817183,False
heldout_benign,30,0,1500,0.0,0,-9.506940841674805e-06,0.44555444555444557,False
heldout_benign,31,0,1500,0.0,0,-2.9826164245605467e-05,0.6093906093906094,False
heldout_benign,32,0,1500,0.0,0,-2.6184320449829102e-05,0.5734265734265734,False
heldout_benign,33,0,1500,0.0,0,7.385015487670899e-06,0.33966033966033965,False
heldout_benign,34,0,1500,0.0,0,-3.0428171157836914e-05,0.6163836163836164,False
heldout_benign,35,0,1500,0.0,0,-6.713271141052246e-05,0.9120879120879121,False
heldout_benign,36,0,1500,0.0,0,-3.955960273742676e-05,0.6913086913086913,False
heldout_benign,37,0,1500,0.0,0,-3.3515691757202146e-05,0.6433566433566433,False
heldout_benign,38,0,1500,0.0,0,-1.1277198791503906e-05,0.45254745254745254,False
heldout_benign,39,0,1500,0.0,0,-3.836154937744141e-05,0.6843156843156843,False
heldout_benign,40,0,1500,0.0,0,-5.373954772949219e-05,0.7982017982017982,False
heldout_benign,41,0,1500,0.0,0,-4.863739013671875e-06,0.4145854145854146,False
heldout_benign,42,0,1500,0.0,0,-1.875758171081543e-05,0.5034965034965035,False
heldout_benign,43,0,1500,0.0,0,-4.280209541320801e-05,0.7202797202797203,False
heldout_benign,44,0,1500,0.0,0,-3.629922866821289e-05,0.6713286713286714,False
heldout_benign,45,0,1500,0.0,0,-1.3405084609985352e-05,0.46653346653346656,False
heldout_benign,46,0,1500,0.0,0,-4.75764274597168e-05,0.7542457542457542,False
heldout_benign,47,0,1500,0.0,0,-2.9754638671875e-05,0.6083916083916084,False
heldout_benign,48,0,1500,0.0,0,-4.369616508483887e-05,0.7252747252747253,False
heldout_benign,49,0,1500,0.0,0,2.8324127197265624e-05,0.24175824175824176,False
attacker,0,1,1500,1.0,1500,0.09603254199028015,0.000999000999000999,True
attacker,1,1,1500,1.0,1500,0.09667044281959533,0.000999000999000999,True
attacker,2,1,1500,1.0,1500,0.09646688103675842,0.000999000999000999,True
attacker,3,1,1500,1.0,1500,0.09627431631088257,0.000999000999000999,True
attacker,4,1,1500,1.0,1500,0.09603964686393737,0.000999000999000999,True
attacker,5,1,1500,1.0,1500,0.09674997329711914,0.000999000999000999,True
attacker,6,1,1500,1.0,1500,0.09661678075790406,0.000999000999000999,True
attacker,7,1,1500,1.0,1500,0.09650381803512573,0.000999000999000999,True
attacker,8,1,1500,1.0,1500,0.09624194502830505,0.000999000999000999,True
attacker,9,1,1500,1.0,1500,0.09651830792427063,0.000999000999000999,True
attacker,10,1,1500,1.0,1500,0.09626323580741883,0.000999000999000999,True
attacker,11,1,1500,1.0,1500,0.09616512656211854,0.000999000999000999,True
attacker,12,1,1500,1.0,1500,0.09625873565673829,0.000999000999000999,True
attacker,13,1,1500,1.0,1500,0.09698653221130371,0.000999000999000999,True
attacker,14,1,1500,1.0,1500,0.0961855709552765,0.000999000999000999,True
attacker,15,1,1500,1.0,1500,0.09663713574409485,0.000999000999000999,True
attacker,16,1,1500,1.0,1500,0.09650328755378723,0.000999000999000999,True
attacker,17,1,1500,1.0,1500,0.09568923711776733,0.000999000999000999,True
attacker,18,1,1500,1.0,1500,0.09638543128967285,0.000999000999000999,True
attacker,19,1,1500,1.0,1500,0.09579530954360962,0.000999000999000999,True
attacker,20,1,1500,1.0,1500,0.09661266803741456,0.000999000999000999,True
attacker,21,1,1500,1.0,1500,0.0963501751422882,0.000999000999000999,True
attacker,22,1,1500,1.0,1500,0.09657368063926697,0.000999000999000999,True
attacker,23,1,1500,1.0,1500,0.09669378995895386,0.000999000999000999,True
attacker,24,1,1500,1.0,1500,0.09620690941810608,0.000999000999000999,True
attacker,25,1,1500,1.0,1500,0.09556428194046021,0.000999000999000999,True
attacker,26,1,1500,1.0,1500,0.09638088941574097,0.000999000999000999,True
attacker,27,1,1500,1.0,1500,0.09671998620033265,0.000999000999000999,True
attacker,28,1,1500,1.0,1500,0.09664018154144287,0.000999000999000999,True
attacker,29,1,1500,1.0,1500,0.09631561636924743,0.000999000999000999,True
attacker,30,1,1500,1.0,1500,0.09670935273170471,0.000999000999000999,True
attacker,31,1,1500,1.0,1500,0.0960257887840271,0.000999000999000999,True
attacker,32,1,1500,1.0,1500,0.09610430002212525,0.000999000999000999,True
attacker,33,1,1500,1.0,1500,0.09611020684242248,0.000999000999000999,True
attacker,34,1,1500,1.0,1500,0.09635747075080872,0.000999000999000999,True
attacker,35,1,1500,1.0,1500,0.09652922749519348,0.000999000999000999,True
attacker,36,1,1500,1.0,1500,0.09659715294837952,0.000999000999000999,True
attacker,37,1,1500,1.0,1500,0.09645985364913941,0.000999000999000999,True
attacker,38,1,1500,1.0,1500,0.095998615026474,0.000999000999000999,True
attacker,39,1,1500,1.0,1500,0.09636055827140808,0.000999000999000999,True
attacker,40,1,1500,1.0,1500,0.0963885486125946,0.000999000999000999,True
attacker,41,1,1500,1.0,1500,0.09610528349876404,0.000999000999000999,True
attacker,42,1,1500,1.0,1500,0.09582136869430542,0.000999000999000999,True
attacker,43,1,1500,1.0,1500,0.09632649421691894,0.000999000999000999,True
attacker,44,1,1500,1.0,1500,0.09654419422149658,0.000999000999000999,True
attacker,45,1,1500,1.0,1500,0.09689628481864929,0.000999000999000999,True
attacker,46,1,1500,1.0,1500,0.0963957965373993,0.000999000999000999,True
attacker,47,1,1500,1.0,1500,0.09633378386497497,0.000999000999000999,True
attacker,48,1,1500,1.0,1500,0.09650427699089051,0.000999000999000999,True
attacker,49,1,1500,1.0,1500,0.09617584943771362,0.000999000999000999,True
mixed_0.05,0,1,1500,0.05,75,0.00014569163322448732,0.04195804195804196,True
mixed_0.05,1,1,1500,0.05,75,0.0001436471939086914,0.04295704295704296,True
mixed_0.05,2,1,1500,0.05,75,0.00018123984336853026,0.027972027972027972,True
mixed_0.05,3,1,1500,0.05,75,0.00014721155166625978,0.04195804195804196,True
mixed_0.05,4,1,1500,0.05,75,0.0001858532428741455,0.026973026973026972,True
mixed_0.05,5,1,1500,0.05,75,0.0001865684986114502,0.026973026973026972,True
mixed_0.05,6,1,1500,0.05,75,0.00018677711486816406,0.026973026973026972,True
mixed_0.05,7,1,1500,0.05,75,0.0001819789409637451,0.027972027972027972,True
mixed_0.05,8,1,1500,0.05,75,0.00014154911041259767,0.04295704295704296,True
mixed_0.05,9,1,1500,0.05,75,0.0001582801342010498,0.03796203796203796,True
mixed_0.05,10,1,1500,0.05,75,0.00015730857849121093,0.03796203796203796,True
mixed_0.05,11,1,1500,0.05,75,0.00019612908363342285,0.023976023976023976,True
mixed_0.05,12,1,1500,0.05,75,0.00017494559288024902,0.030969030969030968,True
mixed_0.05,13,1,1500,0.05,75,0.00016707777976989746,0.03296703296703297,True
mixed_0.05,14,1,1500,0.05,75,0.000158613920211792,0.03696303696303696,True
mixed_0.05,15,1,1500,0.05,75,0.00016236305236816406,0.03596403596403597,True
mixed_0.05,16,1,1500,0.05,75,0.00018401145935058593,0.027972027972027972,True
mixed_0.05,17,1,1500,0.05,75,0.0002259373664855957,0.013986013986013986,True
mixed_0.05,18,1,1500,0.05,75,0.00017910003662109376,0.028971028971028972,True
mixed_0.05,19,1,1500,0.05,75,0.0001969277858734131,0.023976023976023976,True
mixed_0.05,20,1,1500,0.05,75,0.00017623305320739745,0.029970029970029972,True
mixed_0.05,21,1,1500,0.05,75,0.0001852095127105713,0.026973026973026972,True
mixed_0.05,22,1,1500,0.05,75,0.00021895766258239746,0.015984015984015984,True
mixed_0.05,23,1,1500,0.05,75,0.00020740628242492675,0.01898101898101898,True
mixed_0.05,24,1,1500,0.05,75,0.00019112229347229004,0.026973026973026972,True
mixed_0.05,25,1,1500,0.05,75,0.00019704103469848634,0.023976023976023976,True
mixed_0.05,26,1,1500,0.05,75,0.000170135498046875,0.03196803196803197,True
