split,stream_id,label,attacker_ratio,attacker_count_per_batch,batch_size,stream_length_batches,total_queries,detected,alarm_batch,alarm_queries,max_cost,final_cost,final_bucket_coverage,final_new_bucket_rate,final_spread,threshold
heldout_benign,0,0,0.0,0,100,10,1000,False,-1,-1,3.50109079592285,3.3972729808752398,0.064453125,0.02,0.571355627378727,3.9132658416257287
heldout_benign,1,0,0.0,0,100,10,1000,False,-1,-1,3.4779830491381176,3.3774367860846137,0.0634765625,0.04,0.5682744303239029,3.9132658416257287
heldout_benign,2,0,0.0,0,100,10,1000,False,-1,-1,3.3530697574157813,3.2162969536803,0.06005859375,0.05,0.5720798050550143,3.9132658416257287
heldout_benign,3,0,0.0,0,100,10,1000,False,-1,-1,3.2146162829347453,3.2146162829347453,0.06103515625,0.03,0.5720584178903017,3.9132658416257287
heldout_benign,4,0,0.0,0,100,10,1000,False,-1,-1,3.365339803146317,3.2877516976385155,0.06103515625,0.06,0.5690404775302379,3.9132658416257287
heldout_benign,5,0,0.0,0,100,10,1000,False,-1,-1,3.4078336055722627,3.294604156238818,0.06201171875,0.04,0.5706185835907809,3.9132658416257287
heldout_benign,6,0,0.0,0,100,10,1000,False,-1,-1,3.389281351207928,3.389281351207928,0.0634765625,0.04,0.5715645873026013,3.9132658416257287
heldout_benign,7,0,0.0,0,100,10,1000,False,-1,-1,3.4390454588870116,3.300264757841112,0.0625,0.03,0.5717270268632987,3.9132658416257287
heldout_benign,8,0,0.0,0,100,10,1000,False,-1,-1,3.5504931138057825,3.5504931138057825,0.0654296875,0.05,0.5716815793554829,3.9132658416257287
heldout_benign,9,0,0.0,0,100,10,1000,False,-1,-1,3.7305748118006035,3.7305748118006035,0.06787109375,0.05,0.5701227255434278,3.9132658416257287
heldout_benign,10,0,0.0,0,100,10,1000,False,-1,-1,3.4440718146289333,3.270816123063455,0.0615234375,0.04,0.5720500160629052,3.9132658416257287
heldout_benign,11,0,0.0,0,100,10,1000,False,-1,-1,3.2796762806555693,3.0951037663500953,0.0595703125,0.02,0.5690261151007907,3.9132658416257287
heldout_benign,12,0,0.0,0,100,10,1000,False,-1,-1,3.314345001261942,3.213138606751988,0.0615234375,0.02,0.5715840393097199,3.9132658416257287
heldout_benign,13,0,0.0,0,100,10,1000,False,-1,-1,3.4337384236387223,3.3157223619975933,0.0625,0.04,0.5682430280178769,3.9132658416257287
heldout_benign,14,0,0.0,0,100,10,1000,False,-1,-1,3.2794069613790384,3.263621285237487,0.0615234375,0.04,0.5700514500001364,3.9132658416257287
heldout_benign,15,0,0.0,0,100,10,1000,False,-1,-1,3.507336941776341,3.356331233851312,0.06298828125,0.04,0.5710739409908904,3.9132658416257287
heldout_benign,16,0,0.0,0,100,10,1000,False,-1,-1,3.5044494214594417,3.5044494214594417,0.06494140625,0.05,0.5684601480238489,3.9132658416257287
heldout_benign,17,0,0.0,0,100,10,1000,False,-1,-1,3.5819292557117173,3.5819292557117173,0.06494140625,0.07,0.5744267686494811,3.9132658416257287
heldout_benign,18,0,0.0,0,100,10,1000,False,-1,-1,3.4411543651228227,3.4411543651228227,0.0615234375,0.1,0.5726995277460629,3.9132658416257287
heldout_benign,19,0,0.0,0,100,10,1000,True,10,1000,4.1298856356695355,4.1298856356695355,0.07080078125,0.1,0.5711594976073618,3.9132658416257287
heldout_benign,20,0,0.0,0,100,10,1000,False,-1,-1,3.3473735986547872,3.3473735986547872,0.06103515625,0.08,0.5700465611458688,3.9132658416257287
heldout_benign,21,0,0.0,0,100,10,1000,False,-1,-1,3.515359808944782,3.515359808944782,0.0654296875,0.04,0.5697001057829827,3.9132658416257287
heldout_benign,22,0,0.0,0,100,10,1000,False,-1,-1,3.359383323367131,3.359383323367131,0.0634765625,0.03,0.5710373573468244,3.9132658416257287
heldout_benign,23,0,0.0,0,100,10,1000,False,-1,-1,3.4525272091132333,3.4525272091132333,0.06494140625,0.03,0.5695928668165687,3.9132658416257287
heldout_benign,24,0,0.0,0,100,10,1000,False,-1,-1,3.331013491871933,3.331013491871933,0.06201171875,0.05,0.5729545101555351,3.9132658416257287
heldout_benign,25,0,0.0,0,100,10,1000,False,-1,-1,3.325789771721004,3.32243416069114,0.06201171875,0.05,0.5705713626053148,3.9132658416257287
heldout_benign,26,0,0.0,0,100,10,1000,False,-1,-1,3.2515738427680425,3.186595091866752,0.060546875,0.03,0.5719237691491162,3.9132658416257287
heldout_benign,27,0,0.0,0,100,10,1000,False,-1,-1,3.4763920743720664,3.4763920743720664,0.064453125,0.05,0.5699998200167344,3.9132658416257287
heldout_benign,28,0,0.0,0,100,10,1000,False,-1,-1,3.575800406437583,3.531081394593234,0.06640625,0.02,0.5697566531619314,3.9132658416257287
heldout_benign,29,0,0.0,0,100,10,1000,False,-1,-1,3.3793888873281794,3.3010999396743963,0.06201171875,0.04,0.5724229678784415,3.9132658416257287
heldout_benign,30,0,0.0,0,100,10,1000,False,-1,-1,3.221181752598428,3.1794390193823157,0.060546875,0.03,0.5699359712367729,3.9132658416257287
heldout_benign,31,0,0.0,0,100,10,1000,False,-1,-1,3.393898383360117,3.2708462214325547,0.0625,0.02,0.5713329889720329,3.9132658416257287
heldout_benign,32,0,0.0,0,100,10,1000,False,-1,-1,3.509305015832043,3.509305015832043,0.06494140625,0.05,0.5698089242384605,3.9132658416257287
heldout_benign,33,0,0.0,0,100,10,1000,False,-1,-1,3.556195887145374,3.467434019131706,0.06201171875,0.1,0.5719602121721388,3.9132658416257287
heldout_benign,34,0,0.0,0,100,10,1000,False,-1,-1,3.475793170650509,3.475793170650509,0.06396484375,0.06,0.5711597325659687,3.9132658416257287
heldout_benign,35,0,0.0,0,100,10,1000,False,-1,-1,3.237765100440328,3.237765100440328,0.06005859375,0.06,0.5702654013772444,3.9132658416257287
heldout_benign,36,0,0.0,0,100,10,1000,False,-1,-1,3.48229645076578,3.2975444801648433,0.0615234375,0.05,0.571696781924402,3.9132658416257287
heldout_benign,37,0,0.0,0,100,10,1000,False,-1,-1,3.4209503333169273,3.215302448593074,0.06103515625,0.03,0.5722490194620595,3.9132658416257287
heldout_benign,38,0,0.0,0,100,10,1000,False,-1,-1,3.2794374164232707,3.2794374164232707,0.0615234375,0.05,0.5666670419961873,3.9132658416257287
heldout_benign,39,0,0.0,0,100,10,1000,False,-1,-1,3.3265524223317984,3.3265524223317984,0.0625,0.04,0.5712513781107117,3.9132658416257287
heldout_benign,40,0,0.0,0,100,10,1000,False,-1,-1,3.5735082557365443,3.5735082557365443,0.0654296875,0.06,0.5702968965584723,3.9132658416257287
heldout_benign,41,0,0.0,0,100,10,1000,False,-1,-1,3.5337208012735073,3.1438445716396775,0.06103515625,0.01,0.5679551647527828,3.9132658416257287
heldout_benign,42,0,0.0,0,100,10,1000,False,-1,-1,3.3552190485895297,3.089906609782247,0.0576171875,0.05,0.5716153413690757,3.9132658416257287
heldout_benign,43,0,0.0,0,100,10,1000,False,-1,-1,3.308706800900479,3.212340081475822,0.05908203125,0.07,0.5698018013230944,3.9132658416257287
heldout_benign,44,0,0.0,0,100,10,1000,False,-1,-1,3.324776191448955,3.324776191448955,0.060546875,0.08,0.5714185190330615,3.9132658416257287
heldout_benign,45,0,0.0,0,100,10,1000,False,-1,-1,3.484050418767352,3.484050418767352,0.06494140625,0.04,0.5705715361649353,3.9132658416257287
heldout_benign,46,0,0.0,0,100,10,1000,False,-1,-1,3.299045496462421,3.299045496462421,0.06201171875,0.04,0.5718522892084483,3.9132658416257287
heldout_benign,47,0,0.0,0,100,10,1000,False,-1,-1,3.4968272482188354,3.4968272482188354,0.06396484375,0.07,0.5692247541127259,3.9132658416257287
heldout_benign,48,0,0.0,0,100,10,1000,False,-1,-1,3.5909145229459916,3.5555327346826875,0.06640625,0.03,0.5687709142978905,3.9132658416257287
heldout_benign,49,0,0.0,0,100,10,1000,False,-1,-1,3.4236693962420883,3.214545050150602,0.06201171875,0.01,0.5717132763440543,3.9132658416257287
attacker,0,1,1.0,100,100,10,1000,True,1,100,46.175829606467495,46.175829606467495,0.1328125,0.11,0.6932757965088628,3.9132658416257287
attacker,1,1,1.0,100,100,10,1000,True,1,100,40.17790593721118,40.17790593721118,0.1298828125,0.12,0.6918527586735055,3.9132658416257287
attacker,2,1,1.0,100,100,10,1000,True,1,100,35.637359876652035,35.637359876652035,0.12744140625,0.06,0.692391267321183,3.9132658416257287
attacker,3,1,1.0,100,100,10,1000,True,1,100,29.782078009823508,29.782078009823508,0.12353515625,0.1,0.6904068968935876,3.9132658416257287
attacker,4,1,1.0,100,100,10,1000,True,1,100,30.33111117566155,30.33111117566155,0.1240234375,0.05,0.692420723342954,3.9132658416257287
attacker,5,1,1.0,100,100,10,1000,True,1,100,31.923819587910465,31.923819587910465,0.125,0.11,0.6949728250344329,3.9132658416257287
attacker,6,1,1.0,100,100,10,1000,True,1,100,33.37411592534301,33.37411592534301,0.1259765625,0.1,0.6923518913663342,3.9132658416257287
attacker,7,1,1.0,100,100,10,1000,True,1,100,41.128211901006765,41.128211901006765,0.13037109375,0.12,0.6941299826502941,3.9132658416257287
attacker,8,1,1.0,100,100,10,1000,True,1,100,32.599489943606685,32.599489943606685,0.12548828125,0.09,0.6941552698237399,3.9132658416257287
attacker,9,1,1.0,100,100,10,1000,True,1,100,34.9697258326356,34.9697258326356,0.126953125,0.11,0.693458452111323,3.9132658416257287
attacker,10,1,1.0,100,100,10,1000,True,1,100,29.869431742496825,29.869431742496825,0.12353515625,0.12,0.6991162670806208,3.9132658416257287
attacker,11,1,1.0,100,100,10,1000,True,1,100,32.48869951819429,32.48869951819429,0.12548828125,0.05,0.6944912627647405,3.9132658416257287
attacker,12,1,1.0,100,100,10,1000,True,1,100,30.44723062740872,30.44723062740872,0.1240234375,0.09,0.6935650154949461,3.9132658416257287
attacker,13,1,1.0,100,100,10,1000,True,1,100,37.456849354138484,37.456849354138484,0.12841796875,0.11,0.6909192148852941,3.9132658416257287
attacker,14,1,1.0,100,100,10,1000,True,1,100,34.231562364892525,34.231562364892525,0.12646484375,0.13,0.6927289978184252,3.9132658416257287
attacker,15,1,1.0,100,100,10,1000,True,1,100,49.65132543904638,49.65132543904638,0.13427734375,0.15,0.6929533958084535,3.9132658416257287
attacker,16,1,1.0,100,100,10,1000,True,1,100,41.017159144185285,41.017159144185285,0.13037109375,0.08,0.6943931057554378,3.9132658416257287
attacker,17,1,1.0,100,100,10,1000,True,1,100,39.987942508152564,39.987942508152564,0.1298828125,0.05,0.693529583934999,3.9132658416257287
attacker,18,1,1.0,100,100,10,1000,True,1,100,35.75183576653485,35.75183576653485,0.12744140625,0.1,0.6930790145108547,3.9132658416257287
attacker,19,1,1.0,100,100,10,1000,True,1,100,44.1583451714412,44.1583451714412,0.1318359375,0.14,0.6949676292765373,3.9132658416257287
attacker,20,1,1.0,100,100,10,1000,True,1,100,29.768877120860985,29.768877120860985,0.12353515625,0.09,0.6945177610706657,3.9132658416257287
attacker,21,1,1.0,100,100,10,1000,True,1,100,29.127549125523835,29.127549125523835,0.123046875,0.1,0.6933243015217819,3.9132658416257287
attacker,22,1,1.0,100,100,10,1000,True,1,100,35.696085623404315,35.696085623404315,0.12744140625,0.08,0.6931484191968174,3.9132658416257287
attacker,23,1,1.0,100,100,10,1000,True,1,100,34.09199281356497,34.09199281356497,0.12646484375,0.08,0.6928485668941048,3.9132658416257287
attacker,24,1,1.0,100,100,10,1000,True,1,100,28.388771471279977,28.388771471279977,0.12255859375,0.07,0.6916336461364118,3.9132658416257287
attacker,25,1,1.0,100,100,10,1000,True,1,100,23.28173250936391,23.28173250936391,0.1181640625,0.09,0.6924590270308676,3.9132658416257287
attacker,26,1,1.0,100,100,10,1000,True,1,100,35.80515924944001,35.80515924944001,0.12744140625,0.12,0.6923355375400652,3.9132658416257287
