split,stream_id,label,attacker_ratio,attacker_count_per_batch,batch_size,stream_length_batches,total_queries,detected,alarm_batch,alarm_queries,max_cost,final_cost,final_bucket_coverage,final_new_bucket_rate,final_spread,threshold
heldout_benign,0,0,0.0,0,100,10,1000,False,-1,-1,233.15366242882146,233.15366242882146,0.16552734375,0.19,0.763026244598282,625.3182444422077
heldout_benign,1,0,0.0,0,100,10,1000,False,-1,-1,227.36654961776551,227.36654961776551,0.1650390625,0.14,0.7636573712977176,625.3182444422077
heldout_benign,2,0,0.0,0,100,10,1000,False,-1,-1,196.24044794744935,196.24044794744935,0.162109375,0.13,0.7635743113071267,625.3182444422077
heldout_benign,3,0,0.0,0,100,10,1000,False,-1,-1,201.16149166860808,201.16149166860808,0.16259765625,0.15,0.7632961765549784,625.3182444422077
heldout_benign,4,0,0.0,0,100,10,1000,False,-1,-1,201.30743928345325,201.30743928345325,0.16259765625,0.2,0.7649482917897393,625.3182444422077
heldout_benign,5,0,0.0,0,100,10,1000,False,-1,-1,132.88961110139923,132.88961110139923,0.154296875,0.16,0.7629586683330702,625.3182444422077
heldout_benign,6,0,0.0,0,100,10,1000,False,-1,-1,196.29382153870057,196.29382153870057,0.162109375,0.15,0.7628447533213617,625.3182444422077
heldout_benign,7,0,0.0,0,100,10,1000,False,-1,-1,196.29400173023018,196.29400173023018,0.162109375,0.15,0.7628948065240303,625.3182444422077
heldout_benign,8,0,0.0,0,100,10,1000,False,-1,-1,244.8321627761,244.8321627761,0.16650390625,0.17,0.7644788836085245,625.3182444422077
heldout_benign,9,0,0.0,0,100,10,1000,False,-1,-1,216.6583473310195,216.6583473310195,0.1640625,0.2,0.7663104769815412,625.3182444422077
heldout_benign,10,0,0.0,0,100,10,1000,False,-1,-1,143.05424125161167,143.05424125161167,0.15576171875,0.2,0.7626715111381895,625.3182444422077
heldout_benign,11,0,0.0,0,100,10,1000,False,-1,-1,143.0237673020118,143.0237673020118,0.15576171875,0.19,0.7619843029160035,625.3182444422077
