split,stream_id,label,attacker_ratio,attacker_count_per_batch,batch_size,stream_length_batches,total_queries,detected,alarm_batch,alarm_queries,max_cost,final_cost,final_bucket_coverage,final_new_bucket_rate,final_spread,threshold
heldout_benign,0,0,0.0,0,100,10,1000,False,-1,-1,15.31534504644701,15.31534504644701,0.1083984375,0.07,0.7366535374286288,25.327680371739934
heldout_benign,1,0,0.0,0,100,10,1000,False,-1,-1,14.448363792445564,14.448363792445564,0.10693359375,0.08,0.7380919775331604,25.327680371739934
heldout_benign,2,0,0.0,0,100,10,1000,False,-1,-1,12.641044152152718,12.641044152152718,0.103515625,0.1,0.7362312799415719,25.327680371739934
heldout_benign,3,0,0.0,0,100,10,1000,False,-1,-1,13.611566138922301,13.611566138922301,0.10546875,0.08,0.7377104434995098,25.327680371739934
heldout_benign,4,0,0.0,0,100,10,1000,False,-1,-1,13.111476836261538,13.111476836261538,0.1044921875,0.09,0.7363796116522761,25.327680371739934
heldout_benign,5,0,0.0,0,100,10,1000,False,-1,-1,13.932916407043205,13.932916407043205,0.10595703125,0.1,0.7359809674136774,25.327680371739934
heldout_benign,6,0,0.0,0,100,10,1000,False,-1,-1,11.720673183541813,11.720673183541813,0.1015625,0.1,0.7373699075205138,25.327680371739934
heldout_benign,7,0,0.0,0,100,10,1000,False,-1,-1,13.968722777604478,13.968722777604478,0.10595703125,0.11,0.7381494036806974,25.327680371739934
heldout_benign,8,0,0.0,0,100,10,1000,False,-1,-1,16.397168352191287,16.397168352191287,0.10986328125,0.11,0.7366290714336423,25.327680371739934
heldout_benign,9,0,0.0,0,100,10,1000,False,-1,-1,13.639037649447314,13.639037649447314,0.10546875,0.09,0.737563640867569,25.327680371739934
heldout_benign,10,0,0.0,0,100,10,1000,False,-1,-1,14.820642112221222,14.820642112221222,0.107421875,0.11,0.7368858592806915,25.327680371739934
heldout_benign,11,0,0.0,0,100,10,1000,False,-1,-1,11.083762801216412,11.083762801216412,0.10009765625,0.1,0.7369560047408532,25.327680371739934
heldout_benign,12,0,0.0,0,100,10,1000,False,-1,-1,17.13895927413415,17.13895927413415,0.11083984375,0.13,0.7360124460498143,25.327680371739934
heldout_benign,13,0,0.0,0,100,10,1000,False,-1,-1,16.711633662187378,16.711633662187378,0.1103515625,0.1,0.7373898227157446,25.327680371739934
heldout_benign,14,0,0.0,0,100,10,1000,False,-1,-1,12.560981594533251,12.560981594533251,0.103515625,0.07,0.7373250139361642,25.327680371739934
heldout_benign,15,0,0.0,0,100,10,1000,False,-1,-1,12.080616835240717,12.080616835240717,0.1025390625,0.07,0.7354825550033874,25.327680371739934
heldout_benign,16,0,0.0,0,100,10,1000,False,-1,-1,15.346650233045654,15.346650233045654,0.1083984375,0.08,0.737571644817141,25.327680371739934
heldout_benign,17,0,0.0,0,100,10,1000,False,-1,-1,16.46374987177959,16.46374987177959,0.10986328125,0.13,0.7395683824303936,25.327680371739934
heldout_benign,18,0,0.0,0,100,10,1000,False,-1,-1,14.827665453226818,14.827665453226818,0.107421875,0.11,0.7388367873378013,25.327680371739934
heldout_benign,19,0,0.0,0,100,10,1000,False,-1,-1,16.066802487329007,16.066802487329007,0.109375,0.11,0.7369105832908729,25.327680371739934
heldout_benign,20,0,0.0,0,100,10,1000,False,-1,-1,12.058938843148377,12.058938843148377,0.1025390625,0.06,0.737238668311071,25.327680371739934
heldout_benign,21,0,0.0,0,100,10,1000,False,-1,-1,13.87992840265683,13.87992840265683,0.10595703125,0.08,0.7368176328619058,25.327680371739934
